L1,L2
The main aim of the Republic day camp is to provide an exposure to the rich culture and tradition of the country.,गणतंत्र दिवस शिविर का मुख्य उद्देश्य देश की समृद्ध संस्कृति और परंपरा को उजागर करना है।
"Briefing media in New Delhi this afternoon, Director General of National Cadet Crops, NCC Lieutenant General Rajeev Chopra said, cadets from Jammu and Kashmir, Ladakh and North Eastern region are also participating in the camp.","आज नई दिल्ली में संवाददाताओं से बातचीत करते हुए राष्ट्रीय कैडेट कोर -एनसीसी के महानिदेशक लेफ्टिनेंट जनरल राजीव चोपड़ा ने कहा के शिविर में जम्मू-कश्मीर, लद्दाख और उत्तर पूर्वी राज्यों के कैडेट भी भाग ले रहे हैं।"
There shall be no fare hike for passengers over suburban sections and season ticket holders.,उप-नगरीय खंडों और सीजन टिकटों के किराए में बढ़ोत्तरी नहीं होगी।
This class constitutes 66 per cent of total passenger segment over Indian railways.,भारतीय रेलवे के 66 प्रतिशत यात्री इन्हीं श्रेणियों में हैं।
"Even for the passengers travelling in ordinary Non- AC Classes, there shall be a marginal increase of 1 paise per passenger-kilometre.",साधारण गैर-वातानुकूलित श्रेणी के यात्रियों के लिए भी किराए में केवल एक पैसा प्रति किलोमीटर की मामूली वृद्धि की गई है।
"LJP President Chirag Paswan has said that the Citizenship Amendment Act is not against the rights of any Indian and all NDA constituents strongly support the Act. Talking to reporters at Biharsharif yesterday, Mr Paswan said, opposition parties are unnecessarily creating confusion over the CAA. President Ram Nath Kovind laid foundation stone to Lakshadweep's first Super Specialty Hospital at Kavaratti today.",लोक जनशक्ति पार्टी के अध्यक्ष चिराग पासवान ने कहा है कि नागरिकता संशोधन कानून किसी भारतीय के अधिकारों के खिलाफ नहीं है तथा राष्ट्रीय जनतांत्रिक गठबंधन के सभी घटक इस कानून का पुरजोर समर्थन करते हैं।
Finance Minister Nirmala Sitharaman has unveiled infrastructure projects worth 102 lakh crore rupees that will be implemented in the next five years as a part of the government's spending push to the infrastructure sector.,वित्तमंत्री निर्मला सीतारामन ने 102 लाख करोड़ रुपये की बुनियादी ढांचा परियोजनाओं का अनावरण किया।
Ms Sitharaman said that in his Independence Day speech the Prime Minister spoke about investing 100 lakh crore rupees in infrastructure.,"श्रीमती सीतारामन ने 2019-2025 के लिए नेशनल इंफ्रास्ट्रक्चर पाइपलाइन- एनआईपी के लिए गठित कार्यबल की रिपोर्ट जारी करते हुए कहा कि प्रधानमंत्री ने स्वतंत्रता दिवस पर अपने भाषण में बुनियादी ढांचा क्षेत्र में 100 लाख करोड़ रुपये निवेश की बात कही थी, जिसके बाद कार्यबल का गठन किया गया।"
"Ms Sitharaman said, energy projects worth nearly 25 lakh crore rupees have been lined up and another 20 lakh crore rupees in road and about 14 lakh crore rupees in railway projects have also been lined up.",उन्होंने कहा कि लगभग 25 लाख करोड़ रुपये की ऊर्जा परियोजनाएं भी इसमें शामिल हैं।
"Ms Sitharaman said, energy projects worth nearly 25 lakh crore rupees have been lined up and another 20 lakh crore rupees in road and about 14 lakh crore rupees in railway projects have also been lined up.",20 लाख करोड़ रुपये की अन्य सड़क परियोजनाएं और 14 लाख करोड़ रुपये की रेलवे परियोजनाओं को भी शामिल किया गया है।
A Central Bureau of Investigation Special Court in Hyderabad has directed Andhra Pradesh Chief Minister Y S Jaganmohan Reddy to appear before it on 10th of January.,हैदराबाद में केन्द्रीय अन्वेषण ब्यूरो-सीबीआई की विशेष अदालत ने आंध्रप्रदेश के मुख्यमंत्री वाई एस जगन मोहन रेड्डी को 10 जनवरी को अदालत में हाजिर होने का निर्देश दिया है।
The court gave the direction yesterday while hearing a petition by him seeking exemption from personal appearance.,व्यक्तिगत रूप से न्यायालय में उपस्थित होने से छूट मांगने संबंधी उनकी याचिका की सुनवाई करते हुए अदालत ने कल अपना फैसला सुनाया।
It had earlier rejected his plea to exempt him from appearing personally for the hearing.,अदालत ने इससे पहले व्यक्तिगत रूप से उपस्थित होने संबंधी उनकी याचिका को अस्वीकार कर दिया था।
"Besides, Jagan was asked to be present before the court during the proceedings in the case.",जगन मोहन रेड्डी को मामले की सुनवाई के दौरान अदालत में मौजूद रहने को कहा गया था।
